Ticker,Weight
AAPL,0.060801
AMGN,0.009961
BA,0.000000
CRM,0.077747
CSCO,0.010878
CVX,0.029052
DIS,0.034640
GS,0.049733
HD,0.083330
HON,0.042803
IBM,0.081761
JPM,0.031944
KO,0.007360
MCD,0.062851
MMM,0.038272
MRK,0.059563
MSFT,0.079265
NKE,0.016493
PG,0.004227
SHW,0.053910
TRV,0.090208
UNH,0.032578
V,0.017974
VZ,0.013625
WMT,0.011024
