Ticker,Weight
AAPL,0.003712
AMGN,0.046447
AMZN,0.023868
AXP,0.049118
BA,0.021583
CAT,0.025155
CRM,0.049177
CSCO,0.002866
GS,0.096191
HD,0.027558
HON,0.012942
JNJ,0.100478
JPM,0.063377
MCD,0.009332
MMM,0.064358
MRK,0.010442
MSFT,0.000812
NVDA,0.013809
PG,0.005803
SHW,0.020942
TRV,0.082136
UNH,0.045793
V,0.091784
VZ,0.086356
WMT,0.045960
