Ticker,Weight
AAPL,0.001346
AMGN,0.002174
AXP,0.030361
CAT,0.038308
CRM,0.022219
CSCO,0.025200
CVX,0.145186
DIS,0.129456
GS,0.102638
HD,0.039327
HON,0.000888
JPM,0.115184
KO,0.002268
MCD,0.022177
MMM,0.024478
MRK,0.097716
MSFT,0.046741
NKE,0.047229
NVDA,0.023759
SHW,0.000376
TRV,0.007454
UNH,0.022190
V,0.002128
VZ,0.032463
WMT,0.018732
